,review,Country,vadar compound,sentiment
10,i am an apple guy  i converted from pc        and have loved every apple device until the iphone x and the new macbook with m  chip  where to start  first  as is a major complaint for everyone  the macbook pro has all of two ports  yes yes  i know  this was listed in the specs  it doesn t make it ok   if i need to be plugged in  i have   port remaining  it is incredibly idiotic that i have to buy a dock to expand my ports  oh and the ports are only thunderbolt in apple s continuing stupidity of forcing the market to adopt its garbage  i did not buy a mac air for a reason  yet the macbook pro comes with all the limitations of an air  the new charging cable lacking magnetic attachment makes zero sense  the track pad is beyond finicky to the point of being useless  i have no bluetooth connectivity  i get incessant windows telling me to log into podcasts or apple music  i see zero performance improvements with the m chip  in fact  doing a side by side video recording with quicktime  all parameters equalized  i have a severe lag with m  mac  but not with the intel driven machine  and the touch bar is about the worst idea ever  i constantly dim the back light  or go back on web pages because of it  absolute trash  i bought this computer for work and will be designating it as a laptop for our interns  because that s how terrible it is  i will not be duped into replacing this hunk of garbage with the forthcoming macbook pro in which the port and charging issues have been fixed so now begins the massive switching costs for foolishly demonstrating brand loyalty to a company who has none for its customers ,UK,-0.7749,negative
11,update        a few updates now have made the pinwheel subside quite a bit  hope that future updates will make it go away for good previous i constantly get the pinwheel when switching between programs i e  explorer  outlook  teams  amazon music  notes  etc  these are not high power requirement applications  it is especially bad when docking and undocking from my workstation   i have my previous macbook pro setup exactly like this model and it powers through without issues  the problem has gotten so bad that i have momentarily switched back to my previous one until apple gets the software figured out with some updates  disappointing ,UK,-0.0643,negative
12,i can t even believe that i am writing this review  but this is unprecedented  after just one week of using it  i want to get rid of it  this laptop is slower than my      macbook pro    inc  all this hype about the m  chip  and when i open    tabs on google chrome  it s game over  the laptop starts lagging  the sound cuts  i can t even move the mouse and of course  my favorite spinning apple colored wheel is spinning forever trying to load  my cpu is at a      this is not what you would expect from the latest apple models  and this is out of the box laptop,UK,0.0,negative
13,so i got this item which was not working and had the camera going crazy with green lines all around  i asked amazon  for getting a working laptop for my interview and they said we dont replace items that are electronics which is weird since my friend faced similar issue and he got a working laptop  and due to all this i had to re schedule my interview and the company said we will be moving on with other candidates this time thank you amazon,UK,0.6124,positive
14,had windows based computers since day one  always something going on with them  i ve had at least    windows computers and decided it was time to try an apple  well i got to say i love this computer  a little bit of a learning curve but not a stumbling block  don t let the     fool you  it s an awesome screen size and so sharp  i would recommend this computer to anyone ,UK,0.9136,positive
15,the media could not be loaded                          i was not disappointed as this was my first time buying a computer on amazon  and here is why the ordering experience was much easier than my last visit to an apple store to purchase a computer   the computer arrived in two days  on time  a gift to our son who is heading to college this space grey laptop is the perfect size and weight when on campus  it includes an audio jack and two thunderbolt   usb   ports the package also includes a charger with a cord and a straightforward setup i like the fantastic apple design of this laptop with the space grey casing   i m glad overall that this laptop will last up to    hours on a charge  has a great screen  and is more than the required memory and speed as requested by the university  simply perfect and well worth it   therefore i rate this product five out of five stars ,UK,0.9861,positive
16,i don t normally write reviews  but since i spent       on this macbook pro m      from amazon i have been very pleased  i have had it for less than a month and so far everything seems to be in perfect working order  i really love it to be honest  i was skeptical and a bit anxious about buying from amazon instead of apple directly  but i can say that there is no difference and it seems i got it      cheaper on amazon and   day shipping  just make sure it s sold and fulfilled by amazon  all in all very pleased  for anyone on the fence about it you shouldn t be  screen is bright  speakers are amazing  keyboard feels very nice  and battery is great ,UK,0.9948,positive
17,coming from years and years of pc  i must say that this     m  macbook pro is an internet beast  i also use it for lightroom  photoshop  affinity suite  capture one  fl studio and i have zero complaints  i hadn t had a mac since the mid    s and i was a huge fan then  but pc s just offer so much more for the money the ports are an issue and you will need to buy a dock like device because you ll need it to hookup older devices or more than two devices at some point get the   gb model   while i have no issues with ram so far  i believe the   gb model should be the base model because the hibernation sleep is going to kill the nand hard drive eventually from writing to disk every time you close the lid there is an issue with the keyboard that i haven t been able to replicate  but the delete key will enter a state where it doesn t work  though the keyboard still functions  i have to close whatever window i m typing in in order to get the delete key working again  it s not random  but i haven t figured out what two key combo is causing the problem or if it s just in twitter the screen is      accurate  close enough  out of the box   the reason i got the macbook pro is because of the issues i was having with my     dell xps  which is a beast  color discrepancy when exporting  the colors were always over saturated and i had to guess what settings to use to counter the output  i did everything imaginable and always color calibrate with spyder  for    years i ve done this  but the accuracy was never the same on other screens  printing or web postings i never used the touch screen on the xps  i hate smudged screens the battery life is insane  as you ve probably heard    days  all day  no issues surfing the web at whatever levels are auto adjusted for on battery usage the touchpad   while really good  there are times when the two finger scrolling skips around  but overall  is a good experience i m not a fan of the operating system at all  just like ios  it s just too clunky and cluttered  something odd coming from a company who builds incredible hardware with fantastic esthetic designs ,UK,-0.6674,negative
18,for many people this will be a great and fast notebook  if you connect devices you need to know the ports are fast but can not supply very much power  if you have software on cd dvd  be aware that your bus powered dvd drive probably will not work  same if you attach external storage that needs more power than a newer ssd  to fix this you need a hub   dock that is externally powered and supplies power to any device plugged into the hub ,UK,0.3716,positive
19,i finally  after years of my artist friends and colleagues using apple product  laptops  macbooks  desktops  i decided i d get one as i needed a new laptop since my previous one was    years old  at first  i was just sad for having spent so much  i thought  this better convince me otherwise   after having this for two months  i can say i hate it don t get me wrong  there s some decent features that add convenience  but i struggle to complete work in a timely manner as i have to constantly save or redo lost work  the macbook can t consistently run  for example  adobe indesign  adobe illustrator  and one google page  i know you re probably thinking  maybe her file size of the projects she s working on are bogging down a successful running speed and responsiveness   that is not the case the work i am creating at this moment in time is basic web design  typographic studies of minor levels of file work  and an occasional image that needs photoshopped all in all  this product is a bit expensive for my liking  it s got many decent aspects  such as a finger id to unlock easily and touchscreen bar along the top of the keyboard display  cool  but not worth         after tax  if it is going to prohibit my work in graphic design ,UK,0.9476,positive
20,it s a macbook pro bro  what s there not to like  it s been  yrs since my      macbook pro purchase and i still use it  i just have to keep it plugged in because i can t find a good battery replacement for it  this m  is much thinner    i would say half as thin as the    retina model battery life seems good but it was good on my last one  i can use it all day  button press trackpad even the touchbar is good  i do not understand the complaints about the touchbar  i find it kinda cool and ok  maybe my opinion will change after some use the speed is what everyone raves about  i don t see it  it may be slightly faster but it s hard to tell just how much faster  when i open or load it doesn t seem super fast as everyone claims  i m sure it s faster but it s not like its drastically noticeable i had one issue initially  i set up my fingerprint id and all was fine until one day it didn t work and it asked me for my password  i could not remember my password and it took a whole day to figure out how to reset it  so far it s only happened once and i hope it doesn t happen again because using the fingerprint scanner i forgot my password already  the audio is good  definitely not tinny or hollow its that good quality audio you expect  good full sound  volume is ok too could maybe be a little louder i do not like that it has no ports  just   usb c slots    you will have to buy an adapter  at least they kept the headphone jack  i also do not like clicking to drag n drop  i don t see any settings that i can change for this  i like being able to tap and   finger drag i was expecting this to be really fast because that s what they were bragging about but for the money i maybe should have got the air with more gb  but the camera and sound is better on this one  the screen doesn t look as hd as the retina model seems a little flat but it s good  overall you know the quality of apple  i will most likely always have a macbook pro    ,UK,0.9899,positive
21,there are too many baffling oddball problems    like it won t do portrait mode on a displaylink monitor   it has problems with docking stations that ought to work just fine    despite me turning off sleep and screen locking  when in clamshell closed mode  sometimes it won t wake up and has to be hard power cycled or zapped to get it to boot back up   these issues are virtually nonexistent on intel silicon of the same era os revision level   the problems with external monitors feel like they re reintroducing problems most vendors  including apple  fixed over a decade ago i m completely soured on m   and have no interest in m x   i may trade this in for a mini   it s all but useless as portable computer because docking undocking causes such nightmarish problems m  maybe  once it s been out for a year or two   yes  i know that this is the risk of being an early adopter   i m still going to call out its flaws even though i know i am the author of my own suffering here also  again not an apple problem but a me problem   i hate the touch bar and leave it completely disabled   i m clumsy and have big fingers ,UK,-0.8582,negative
22,i am a long time windows user  i ve had so many different windows laptops  each with their own faults  i ve always despised macbooks because of what you hear from every person who s built a pc before   apple makes crappy products    no good to use       ever since i got my ipad pro a few years back  apple has slowly dragged me back into the ecosystem by how good their products have become  with the release of the m  macs  i was pretty interested in how well these will perform  and eventually caved and bought this macbook pro i was wrong  i ve been wrong  this macbook pro has very good performance and has kicked ass through everything i throw at it  i like the big sur operating system  everything has been made super easy  and also connects to all of my other apple devices  being able to to text people from my macbook is awesome  my only complaint is honestly  like everyone else  the touch bar  i wish i had the regular function keys like on the air  i got this one because of better battery life  and man  this laptop lasts me a week  what     my ol reliable acer laptop only lasted me   hours  and i thought that was good sorry windows fanboys  sorry pc master race  for laptops  i will never replace my home windows desktop   the macbook is one of the best devices you can buy  it s great ,UK,0.9828,positive
23,already experiencing battery issue  apple is directly helping out and asked to drop the laptop at the store to fix disappointed,UK,-0.4588,negative
24,my laptop lasted less than   months before it died  i talked to an amazon rep who was responsive and put me in touch with an apple rep  who was curt  he suggested bringing it to a local shop licensed by apple to diagnose and repair  but he said they didn t have an appointment for almost a week  at the shop  they were much more responsive but warned that a small crack in the bottom of the screen that happened when i close it one day likely caused the problem  would not be covered by the warranty and would cost      to fix   fingers crossed it is something else  but he said he was    percent sure this would be the case   two issues with my      apple macbook pro with apple m  chip     inch   gb ram     gb ssd storage      debris can fall into the seam between the keyboard and screen unseen and    i kept having to adjust the brightness  even though i set the screen to be bright  it kept returning to dim  my other complaint is that the apple rep was curt  the tech at the shop said he sees a lot of screen issues and highly recommended by the warranty plus plan  which costs over       for two years  i think  and then      year ,UK,0.7575,positive
25,i left my brand new m  macbook pro in my car for an hour and now the screen looks like a picasso painting   both amazon and apple refuse to pay for repairs because apparently this is considered an accident rather than a manufacturer s defect  even though i bought it only two months ago   so i m out      to repair a two month old computer   i would heavily advise against buying one of these  because if this is considered normal rather than a manufacturer s defect  then    degree heat is enough to damage the screen   this means that they re essentially useless if your air conditioner goes out and you will be left with a repair bill that is half the value of the computer ,UK,-0.872,negative
26,this is a m  model   it is fast  it is light  it is powerful  it wakes up in seconds      it saves me time like crazy  no longer the annoying ball       it replaces my old and faithful macbook pro late       yes          everything works from the beginning      in my older mac  which i still keep just in case  i could still run everything i needed  but it was definitely much slower   the new one is great   take the op to say kudos to apple  until    days ago i was still using a   years old computer  running big sur and every single app i needed and the only change  has been one of speed  great change by the way    all is compatible  i just put in a caldigit dock and do not need to buy anything else new        well done ,UK,0.9782,positive
27,i am extremely disappointed with this machine  i bought this specifically because it had a gpu  which i thought would be beneficial for programming with data  however  the new apple chip is completely unworkable  none of the modern software packages for data science are compatible with the chip  rendering the machine worthless and void for its intended purpose  i will never purchase another apple machine ,UK,-0.5256,negative
28,the media could not be loaded                          on the right hand side you can see a black line of dead pixels that quickly became much worse  and although it was on every window you can really see it on the graph where the image burned into the   week old screen that i barely used and bought specifically because it was considered the best option for trading view the program in the video  you can see  facebook logo burnt in on the right but the whole screen was ghosting everything bad   it s just hard to see most of it  i have no idea what caused this  as it s not a    year old crt display with an nes left on for years  it s a brand new liquid retina i m sure i m not the only one to experience this but do keep in mind i was lucky and able to return because this happened one day before my    day window closed  my experience with apple has always been with second market items aside from my phone they are not very helpful unless you pay  a very high service fee  i m sure i could have had this repaired for free but at the price and the fact that it was my very first mac i sent it back and have no intention on owning another one  best thing i could suggest is if you must own a mack buy apple care they will replace  it twice brand new  u may need that done  the build quality outside of the electronics is unmatched  absolute perfection in every seam  i wish it would have worked i bolutely loved this machine until the day it broke down  now i won t ever feel comfortable owning a new one again  i did purchase the m  ipad instead and love it  well my  tb model  the     is not enough storage  tb i m sure will be plenty  i think apple is a great product as long u never have any issues  if you do be ready to spend like you did the day you made your purchase ,UK,0.9951,positive
29,i was so nervous because i ve never purchased a computer through amazon  it arrived in great conditions  battery was around     when turned on  great performance  great battery life as described  vibrant colors in the screen  very satisfied with this purchase ,UK,0.959,positive
30,battery life and new keyboard if nice but this mac freezes a lot  when you open more than    tabs  when open finder  when connecting to external monitor this m  freezes i need to constantly force quit the applications  this macbook  pro  only  supports  one external monitor  not a reliable laptop ,UK,0.5927,positive
31,i ve been an apple user for over    years  and i was pretty excited to make the m  migration now that many apps have been updated for apple silicon  i expected to be blown away  and while this is an excellent apple laptop  and the battery life does live up to the hype  i overall i found it disappointing compared to the reviews  three things    sure  it may fly if you re doing really cpu heavy things  but for things like  heavy  productivity  i found it no better than my intel      in fact       this could be related to all the stories i read saying    gb on apple silicon is like   gb on intel    yeah  don t believe those  again  this may be true for tasks that are well suited for arm  but heavy productivity work is no better  i keep a decent but not insane amount of safari tabs open at any time  and that plus having much of anything else open kept the memory pressure graph constantly in the yellow  if not red  and that may or may not be related to the biggest problem which is       i had significant problems using my lg  k display which has worked like a champ with my      sometimes it would take up to   minutes before things  settled down  and i was actually able to use the computer again  that was a dealbreaker would   and   have been better with more memory  or are these m  growing pains  or something else  i don t know  i ll probably give the     a try with   gb whenever it comes out  for now  this     was just too underpowered for my fairly average professional needs i realize that reviews below   stars on this are rare  which i find puzzling for the reasons above  hope this is helpful to anyone who might be wondering about the downsides ,UK,0.9848,positive
32,i got this for        which it s       if you buy it from apple  which makes no sense   it was either this or the macbook air for       which is      at apple    i got this because i ve had many macbook airs and wanted something different   if i had to do it again  and wanted to save money i would have gotten the air   the difference is this has a fan  a touch bar  a better gpu  and a brighter screen for      more   i was worried because some people don t like the touch bar but i think it s great   and besides  you can even set the touch bar up so it s just like the old function keys you re used to  but as touch keys there really is no competition for a macbook   i ve tried them all  the dells  the surfacebooks  etc  and they re never as good as an apple macbook ,UK,0.8361,positive
33,i was excited to get the new macbook pro m  as reviews described it as a very fast powerhouse computer  my first impression was strong  i started to play with all the features my old macbook pro is missing  i was excited about extending the screen to my ipad pro will be able to paint in photoshop  with sidecar   this feature is completely underwhelming and unpractical to use  mostly due to how interface of this feature is set up   the next feature i was excited to try was installing ipad iphone app to macbook pro    well  this works here and there  applications are crashing    again very underwhelming  three weeks later my new macbook pro started having issues when plugging into the power source through thunderbolt  after i unplug it from power  the second time when plugin it wouldn t charge  i had to unplug the thunderbolt cable both from the power adapter and from a computer and plug it back to the charger first then to the computer in order for mac to charge again  i ran self diagnostic on startup and it would freeze  luckily i was still in the amazon window to return this now broken computer  i don t understand how apple machines became so unreliable  now i m hesitant to order another apple computer as this is the very first new computer i ever purchased turns out to be a lemon ,UK,0.9107,positive
34,excellent battery backup and very smooth and powerful machine  ,UK,0.7759,positive
35,i bought this laptop primarily for college  as someone who has dealt with both devils by the name of apple and microsoft  the operating system differences don t bother me  although  one thing i did find is that when i go home and i m not able to do any gaming  it can be a bit of an irritation  but that was never why i bought this laptop to begin with   the screen and battery life on this thing are amazing  my previous laptops had terrible screens and had a max battery life of about two hours  this laptop  between using it for school  doing photo editing  graphic design  coding  and video editing  can easily last me up to two days or even more  the one thing i will say is that frequently in order for me see things most of the time  i need the screen cranked up past     brightness most of the time  i like the touch bar  i barely use function keys in most applications and the apps that do use them have the buttons on the touch bar anyways  i will say though unless you care about the touch bar  a slightly larger battery  and a fan being inside this machine  which for the record  with all of my use of heavy exports and edits  has never once turned on   just buy the macbook air  for school especially  it will get you across fine  the   gb model is also superb in most of the tasks i need to accomplish  i mean  it has similar performance in what i need for compared to my pc with a ryzen     x  and rtx       and   gb of ram  there were a couple of times where webpages tried to use more than  gb of ram and that caused some trouble  but after turning on an ad blocker i never had that issue again  macos has superb memory management  which allows for someone semi professional like me to get by with it just fine ,UK,0.9872,positive
36,i love my macbook pro  i had the    inch macbook air      and i hated that thing  used it for college and i wanted to get rid of it so bad so i gave it away  i always wanted the macbook pro because i thought they were just built better and i the interface of how its designed looked way better  finally was able to buy one and so far so good  i really hope and pray this one doesn t start going slow like how my macbook air did after a year or    bought one for my friend as well and she loves hers  i mainly use it for work  school zoom calls and a little bit of streaming  not a gamer so battery life is something i never have to worry about  battery life was amazing for the first   weeks but  i can tell now the battery has been dying slightly faster but i believe it s from how much i ve been on it lately but if i put it down for a few days  most likely    battery life hangs in there ,UK,0.9267,positive
37,hyper portability  ridiculously speed and responsiveness  and a very robust battery are some of the highlights of this little mac  it s up and running from sleep as fast as a smartphone wakes  the trackpad   gestures make me forget i don t actually have a touchscreen here  and the m  manages battery draw like nothing i ve ever seen in a laptop the touch bar is controversial  but i love it  it s a great premium feature  but not necessarily a great  pro  feature  replacing the f  line of keys with a touch screen that changes function based on what app you re using is actually pretty great and it ties in well with the idea of gestures via the trackpad as a method of interacting with the computer if you ve never tried a mac before  i highly recommend starting here ,UK,0.9894,positive
38,quality product  light weight and superior design  great audio and video performance  ,UK,0.8225,positive
39,this is my first apple computer and i am blown away  i will never be going back to windows computers again  it s a thousand little things and quite a few big things that make apple computers just better  i wasn t a true believer but now i am  i love this macbook pro  i have it hooked up to a    inch apple display and it is wicked cool  and i have the apple magic mouse   and apple keyboard ,UK,0.7906,positive
40,la compr  en abril  pero la comenc  a usar reci n en mayo       a comienzos de setiembre comenz  a fallar el touchbar y ese mismo d a se apag  y no volvi  a encender el servicio t cnico dice que es un fallo el ctrico y tendr n que cambiar varias partes  incluyendo la bater a  el touch bar  el teclado  etc  es decir  una computadora de casi      requiere un mantenimiento bastante grande luego de solo   meses de uso me parece bastante mal  obviamente  desde donde estoy es imposible comunicarse directamente con la empresa  la p gina web dice que siempre est  ocupada y el servicio t cnico hace que los clientes firmen un documento que  b sicamente  sirve para que no haya opci n a reclamar  es m s  si no dejo que la reparen  estoy obligado a pagarles por el diagn stico no puedo recomendar un producto tan caro que se estropee tan r pido ,UK,-0.7783,negative
41,pros  very sleek product  battery life is amazing  fast boot up and general processing speeds cons  hardware soldered to main board preventing or drastically reducing easy hardware upgradesi was stoked to get the laptop at the price point until i discovered what i listed in the con area  now i m stuck with  gb of memory and a    gb ssd    years ago this wouldn t have been a big deal  obviously i could expand storage by using an external source of some sort and tune memory to swap more using virtual disk  but who wants to do that when the original intent was to upgrade the memory and drive after brief use  for lite and everyday computing  this will be more than adequate  for gaming  development  or running virtual platforms do not buy due to the ridiculous effort it will take to upgrade  i m thinking of giving this to my wife in exchange for her      macbook pro that i ve already doubled the memory and drive capacity on with great ease  apple needs to rethink this garbage new era engineering  yes  direct solder makes things run faster to a point  but the trade of losing upgrade capability is not worth it  buyer beware ,UK,0.94,positive
42,if i could give this   stars i would  i bought this computer  new  however after using it for   weeks i realized that i have pictures on it of another family  this was clearly a used computer and falsely advertised as  new   i paid way to much for a used computer  do not purchase ,UK,0.4019,positive
43,i have an aging macbook pro       which i use a great deal  at some point i know it will cease to function well  so i made the leap to the smaller      macbook pro       with the m  chip  it runs fast  stays cool  and after a month or so of pretty constant usage  has been doing beautifully  some of the newer features like the touch screen pad have taken me some time to get used to  but i m learning to appreciate them  a word of caution   not all apps and software are quite ready for the m  chip   big sur yet  i m still straddling the world of two macbooks  the older one running high sierra and the new one running big sur  because some of the apps don t work perfectly on the new macbook  but all in all  it s a good transition for me ,UK,0.9798,positive
44,applications that are apple m  compliant are so ridiculously faster than their intel counterparts  it s pointless to even bother comparing  i had to purchase this as my awesome trusty         macbookpro decided to die one day  mth update  things to consider my old     had every port imaginable  and with expresscard i had all the modern usb  thunderbolti am not sure if a     will ever be my daily driver  as soon as i get the tantalum capacitor replacement to repair my     i will likely go back to it as my primary and always have this one as my spare or if i need serious processing speed  that said  if my     won t resurrect from large paperweight status  the new     m  would be my choice to replace it my own performance analysis one of my applications analyzes gigantic data  my old      core duo     used to take   min  sec per process output completion  my imacpro did it in  min  sec  and this m  took   seconds   mind boggling fast    also musicians  make sure you check all your music hardware and software and drivers to determine whether they will work with macos    x and apple silicone m  ,UK,-0.1631,negative
45,nowadays is ridiculous that a good windows system can be as expensive as a mac computer  or vice versa  a mac now is as affordable as a windows pc  this new micro  the m  series is amazing  run fast  no lagging  and with the rest of the integrated masc hardware i am fascinated with the performance  no matter i am just writing a book or editing videos on premiere  or even making a complex podcast with audition or reaper wit my previous windows machines i was experimentan lot of lagging issues and considering build or buy new computer were expensive and complicated  now the macbook pro solved all in one single package i am delighted with the number of hours i can be working on the go  one single charge last all day long  checking emails  editing audio  writing  translating  chatting and all with a great keyboard  that we must admit is not a mechanical one  but makes a very decent job for a   mm travel on each keystroke i am so happy that my mac is so versatile and powerful in one small package that i am considering getting rid of all my windows pc get another couple of macs and continuing with my new style of working hours on the go or in any other place i like bringing just one small device but powerful with stounding battery life  worth to mention the finishes are superb and make it thought for travelling finally  the os is amazing  i have almost no trouble moving from one to the other  i am surprised that mac os comes with all the things to start working just opening the lid of the computer  everything is suitable to start working or creating something  something now i really hate on pcs is the number of hours i had to spent setting up the os  later installing programs  setting my preferences and son on  now all that days have gone with mac os these finals words are for you  my friend if you are like me  an old school tech guy that loves setting raid arrays  tunning the bios  picking every component by hand  dealing with bus speeds  got issues on the registr  and spent hundreds of hours on forums asking questions about performance and incompatibilities with your stuff  please don t hesitase to move to mac os  on this side  everything is simple but powerful and you can be more focused on producido that supports your systems  as many people have told me before buying a mac i can share with you it s real     when you get a mac you won t get back to windows   it happened to me in just    days ,UK,0.9973,positive
46,i love my mbp  as a windows user since the early    s  i ve gone through all sorts of computer systems  desktops and laptops  name brand pre built systems and custom builds and i ve got to say  apple knows how to construct an absolutely gorgeous and solid device with premium build quality  my interest in windows began waning after windows   and has been a downward spiral since  in terms of user experience  maintenance  bugs  endless updates  updates for those updates  etc  i was not going to stick around for another lackluster release with windows    on the way  which my fairly new and high end laptop at the time didn t even officially qualify for the upgrade   the learning curve was not too steep and has been more rewarding in the past several weeks of use  i forget how much of a pleasure it was to use a computer that the developers actually understand the needs of the customer base  i am equally amazed by just how seamlessly everything just seems to work  i used to think in terms of apple monopolizing the market by offering a product that they built both on the hardware and software side  but that is in part why it just works so flawlessly ,UK,0.9303,positive
47,good macbook  i owned a      prior to this and vowed to get macbooks for their superior performance i rated this a   because i had some eye strain which was of great irritance  however i just turned off the true colors and changed the background to a softer color  problem solved i also didn t appreciate that now it uses a usb c type dock  so now i have to get new adapters and wires to connect it s thunderbolt   to other devices    it took me a good three weeks to figure everything out despite this i love the sound and picture quality  the touch bar is cool too    update after   months of usei can t handle the heavy eye fatigue caused from this new macbook  to be honest  i think my vision got worst after using this mac   i m a teacher  so i must look at my screen a lot   comparing it to another macbook that i owned  a macbook pro      which i got replaced with this m    i got very little eye fatigue from it   also the design doesn t work if you add a case to it   a case would prevent you to effectively use the usb c ports as the bottom part of a case would interfere with it ,UK,0.9397,positive
48,i m new to mac  this machine is amazing  my transition from windows has been easy  it s very light and the battery life is incredible  i have used it for two days at times with no charging  it  does not heat up and no fan noise or anything  super powerful   i m also loving the touch bar adjusting volume and brightness has never been easier ,UK,0.9474,positive
49,this is my very first mac  it was the value for the price  strange to describe an apple product that way  and the performance of apple s new m  chip that finally compelled me to buy my first mac  and i m glad i did  this machine is awesome  it s my baby now  it s so good  part of it no doubt is the novelty is using macos instead of windows     but i really love my new macbook pro ,UK,0.9044,positive
